AGRMNT_ID,EFFECTIVE_START_DT,EFFECTIVE_END_DT,AGRMNT_OPEN_DT,AGRMNT_CLOSE_DT,AGRMNT_TYP_CD,AGRMNT_SBTYP_CD,AGRMNT_ORIG_LIM,AGRMNT_PURP_CD
AGR000000,2020-10-27,,2020-10-27,,DEP,CUR,,GENERAL
AGR000001,2020-10-27,,2020-10-27,2026-06-20,ODR,TLN,250000.0,WORKCAP
AGR000002,2021-10-20,,2021-10-20,,DEP,CUR,,GENERAL
AGR000003,2021-10-20,,2021-10-20,2026-03-01,ODR,TLN,1000000.0,WORKCAP
AGR000004,2021-04-03,,2021-04-03,,DEP,CUR,,GENERAL
AGR000005,2021-05-03,,2021-05-03,,DEP,CUR,,GENERAL
AGR000006,2021-05-03,,2021-05-03,2025-09-16,ODR,TLN,500000.0,PROPERTY
AGR000007,2021-01-01,,2021-01-01,,DEP,CUR,,GENERAL
AGR000008,2021-01-01,,2021-01-01,2024-09-28,ODR,TLN,100000.0,REFIN
AGR000009,2022-03-28,,2022-03-28,,DEP,CUR,,GENERAL
AGR000010,2022-03-28,,2022-03-28,2026-05-01,LON,RCF,250000.0,PROPERTY
AGR000011,2020-11-09,,2020-11-09,,DEP,CUR,,GENERAL
AGR000012,2021-03-16,,2021-03-16,,DEP,CUR,,GENERAL
AGR000013,2020-08-08,,2020-08-08,,DEP,CUR,,GENERAL
AGR000014,2020-11-29,,2020-11-29,,DEP,CUR,,GENERAL
AGR000015,2020-11-29,,2020-11-29,2025-06-30,ODR,TLN,1000000.0,CAPEX
AGR000016,2020-10-13,,2020-10-13,,DEP,CUR,,GENERAL
AGR000017,2020-12-20,,2020-12-20,,DEP,CUR,,GENERAL
AGR000018,2020-12-20,,2020-12-20,2024-07-29,LON,RCF,250000.0,TRADE
AGR000019,2020-11-23,,2020-11-23,,DEP,CUR,,GENERAL
AGR000020,2020-11-23,,2020-11-23,2023-07-28,ODR,TLN,1000000.0,CAPEX
AGR000021,2022-03-12,,2022-03-12,,DEP,CUR,,GENERAL
AGR000022,2022-02-23,,2022-02-23,,DEP,CUR,,GENERAL
AGR000023,2022-04-19,,2022-04-19,,DEP,CUR,,GENERAL
AGR000024,2022-04-19,,2022-04-19,2026-06-30,LON,RCF,250000.0,REFIN
AGR000025,2022-03-30,,2022-03-30,,DEP,CUR,,GENERAL
AGR000026,2021-02-26,,2021-02-26,,DEP,CUR,,GENERAL
AGR000027,2021-02-26,,2021-02-26,2025-09-13,ODR,TLN,250000.0,PROPERTY
AGR000028,2020-08-12,,2020-08-12,,DEP,CUR,,GENERAL
AGR000029,2021-01-13,,2021-01-13,,DEP,CUR,,GENERAL
AGR000030,2021-12-25,,2021-12-25,,DEP,CUR,,GENERAL
AGR000031,2021-08-02,,2021-08-02,,DEP,CUR,,GENERAL
AGR000032,2021-08-02,,2021-08-02,2041-07-28,MTG,RCF,750000.0,PROPERTY
AGR000033,2021-02-10,,2021-02-10,,DEP,CUR,,GENERAL
AGR000034,2021-02-10,,2021-02-10,2041-02-05,MTG,RCF,750000.0,PROPERTY
AGR000035,2022-04-22,,2022-04-22,,DEP,CUR,,GENERAL
AGR000036,2020-12-21,,2020-12-21,,DEP,CUR,,GENERAL
AGR000037,2020-12-21,,2020-12-21,2023-09-10,ODR,TLN,500000.0,GENERAL
AGR000038,2020-12-21,,2020-12-21,2040-12-16,MTG,RCF,500000.0,PROPERTY
AGR000039,2021-01-05,,2021-01-05,,DEP,CUR,,GENERAL
AGR000040,2021-01-05,,2021-01-05,2025-10-12,ODR,TLN,100000.0,CAPEX
AGR000041,2020-10-10,,2020-10-10,,DEP,CUR,,GENERAL
AGR000042,2020-10-10,,2020-10-10,2023-04-14,ODR,TLN,1000000.0,CAPEX
AGR000043,2021-05-11,,2021-05-11,,DEP,CUR,,GENERAL
AGR000044,2021-05-11,,2021-05-11,2024-04-13,LON,RCF,100000.0,WORKCAP
AGR000045,2021-07-01,,2021-07-01,,DEP,CUR,,GENERAL
AGR000046,2021-07-01,,2021-07-01,2026-04-17,LON,RCF,1000000.0,REFIN
AGR000047,2021-11-21,,2021-11-21,,DEP,CUR,,GENERAL
AGR000048,2021-06-06,,2021-06-06,,DEP,CUR,,GENERAL
AGR000049,2021-06-06,,2021-06-06,2024-11-16,ODR,TLN,500000.0,REFIN
AGR000050,2020-11-30,,2020-11-30,,DEP,CUR,,GENERAL
AGR000051,2020-11-30,,2020-11-30,2024-02-01,ODR,TLN,1000000.0,CAPEX
AGR000052,2021-04-07,,2021-04-07,,DEP,CUR,,GENERAL
AGR000053,2022-01-12,,2022-01-12,,DEP,CUR,,GENERAL
AGR000054,2022-01-12,,2022-01-12,2025-02-04,ODR,TLN,500000.0,REFIN
AGR000055,2022-04-10,,2022-04-10,,DEP,CUR,,GENERAL
AGR000056,2022-04-10,,2022-04-10,2026-06-30,LON,RCF,250000.0,REFIN
AGR000057,2021-06-15,,2021-06-15,,DEP,CUR,,GENERAL
AGR000058,2021-06-15,,2021-06-15,2024-07-08,ODR,TLN,100000.0,TRADE
AGR000059,2022-01-03,,2022-01-03,,DEP,CUR,,GENERAL
AGR000060,2022-01-03,,2022-01-03,2024-01-19,LON,RCF,1000000.0,CAPEX
AGR000061,2021-01-05,,2021-01-05,,DEP,CUR,,GENERAL
AGR000062,2020-10-26,,2020-10-26,,DEP,CUR,,GENERAL
AGR000063,2022-03-24,,2022-03-24,,DEP,CUR,,GENERAL
AGR000064,2021-11-06,,2021-11-06,,DEP,CUR,,GENERAL
AGR000065,2021-11-06,,2021-11-06,2026-05-09,LON,RCF,100000.0,GENERAL
AGR000066,2021-09-06,,2021-09-06,,DEP,CUR,,GENERAL
AGR000067,2021-09-06,,2021-09-06,2024-01-02,LON,RCF,250000.0,WORKCAP
AGR000068,2022-02-13,,2022-02-13,,DEP,CUR,,GENERAL
AGR000069,2021-08-13,,2021-08-13,,DEP,CUR,,GENERAL
AGR000070,2020-08-28,,2020-08-28,,DEP,CUR,,GENERAL
AGR000071,2021-08-15,,2021-08-15,,DEP,CUR,,GENERAL
AGR000072,2021-08-15,,2021-08-15,2026-05-23,ODR,TLN,1000000.0,PROPERTY
AGR000073,2020-11-29,,2020-11-29,,DEP,CUR,,GENERAL
AGR000074,2020-11-29,,2020-11-29,2023-12-14,LON,RCF,1000000.0,TRADE
AGR000075,2022-02-23,,2022-02-23,,DEP,CUR,,GENERAL
AGR000076,2022-03-10,,2022-03-10,,DEP,CUR,,GENERAL
AGR000077,2022-03-10,,2022-03-10,2026-01-10,ODR,TLN,100000.0,PROPERTY
AGR000078,2021-12-08,,2021-12-08,,DEP,CUR,,GENERAL
AGR000079,2021-12-08,,2021-12-08,2041-12-03,MTG,RCF,500000.0,PROPERTY
AGR000080,2022-02-25,,2022-02-25,,DEP,CUR,,GENERAL
AGR000081,2021-09-19,,2021-09-19,,DEP,CUR,,GENERAL
AGR000082,2021-09-19,,2021-09-19,2025-08-08,LON,RCF,500000.0,PROPERTY
AGR000083,2020-08-27,,2020-08-27,,DEP,CUR,,GENERAL
AGR000084,2020-08-27,,2020-08-27,2022-11-22,ODR,TLN,1000000.0,PROPERTY
AGR000085,2021-06-20,,2021-06-20,,DEP,CUR,,GENERAL
AGR000086,2021-06-20,,2021-06-20,2025-11-20,ODR,TLN,100000.0,TRADE
AGR000087,2021-06-04,,2021-06-04,,DEP,CUR,,GENERAL
