AGRMNT_ID,AGRMNT_DLY_BAL_STRT_DTTM,AGRMNT_LDGR_BAL_AMT,AGRMNT_BAL_CURY_CD
AGR000000,2022-06-30,180397.42,EUR
AGR000000,2022-07-07,180519.49,EUR
AGR000000,2022-07-14,180468.92,EUR
AGR000000,2022-07-21,180817.55,EUR
AGR000000,2022-07-28,184807.33,EUR
AGR000000,2022-08-04,183839.36,EUR
AGR000000,2022-08-11,184615.7,EUR
AGR000000,2022-08-18,186588.25,EUR
AGR000000,2022-08-25,186771.11,EUR
AGR000000,2022-09-01,191137.53,EUR
AGR000000,2022-09-08,190414.95,EUR
AGR000000,2022-09-15,191032.07,EUR
AGR000000,2022-09-22,189506.09,EUR
AGR000000,2022-09-29,188839.93,EUR
AGR000000,2022-10-06,189310.02,EUR
AGR000000,2022-10-13,190912.15,EUR
AGR000000,2022-10-20,191521.35,EUR
AGR000000,2022-10-27,193932.82,EUR
AGR000000,2022-11-03,193748.65,EUR
AGR000000,2022-11-10,193105.08,EUR
AGR000000,2022-11-17,198326.61,EUR
AGR000000,2022-11-24,199108.49,EUR
AGR000000,2022-12-01,197675.94,EUR
AGR000000,2022-12-08,196303.55,EUR
AGR000000,2022-12-15,194453.03,EUR
AGR000000,2022-12-22,196274.22,EUR
AGR000000,2022-12-29,195559.04,EUR
AGR000000,2023-01-05,195808.11,EUR
AGR000000,2023-01-12,195683.76,EUR
AGR000000,2023-01-19,197115.17,EUR
AGR000000,2023-01-26,195446.11,EUR
AGR000000,2023-02-02,193343.94,EUR
AGR000000,2023-02-09,193777.61,EUR
AGR000000,2023-02-16,194942.13,EUR
AGR000000,2023-02-23,195590.38,EUR
AGR000000,2023-03-02,194007.16,EUR
AGR000000,2023-03-09,195321.53,EUR
AGR000000,2023-03-16,193868.61,EUR
AGR000000,2023-03-23,192857.51,EUR
AGR000000,2023-03-30,191037.03,EUR
AGR000000,2023-04-06,193522.72,EUR
AGR000000,2023-04-13,194748.54,EUR
AGR000000,2023-04-20,195926.75,EUR
AGR000000,2023-04-27,198370.37,EUR
AGR000000,2023-05-04,203949.84,EUR
AGR000000,2023-05-11,200463.87,EUR
AGR000000,2023-05-18,198983.69,EUR
AGR000000,2023-05-25,197757.61,EUR
AGR000000,2023-06-01,196075.05,EUR
AGR000000,2023-06-08,193962.17,EUR
AGR000000,2023-06-15,193380.96,EUR
AGR000000,2023-06-22,191028.28,EUR
AGR000000,2023-06-29,191668.31,EUR
AGR000000,2023-07-06,191767.39,EUR
AGR000000,2023-07-13,192689.85,EUR
AGR000000,2023-07-20,193668.19,EUR
AGR000000,2023-07-27,194836.02,EUR
AGR000000,2023-08-03,194108.49,EUR
AGR000000,2023-08-10,198225.81,EUR
AGR000000,2023-08-17,198690.51,EUR
AGR000000,2023-08-24,194989.93,EUR
AGR000000,2023-08-31,193035.4,EUR
AGR000000,2023-09-07,189675.61,EUR
AGR000000,2023-09-14,189708.49,EUR
AGR000000,2023-09-21,189477.42,EUR
AGR000000,2023-09-28,188589.86,EUR
AGR000000,2023-10-05,192382.26,EUR
AGR000000,2023-10-12,193438.4,EUR
AGR000000,2023-10-19,194842.96,EUR
AGR000000,2023-10-26,193028.83,EUR
AGR000000,2023-11-02,191100.19,EUR
AGR000000,2023-11-09,191170.52,EUR
AGR000000,2023-11-16,191501.26,EUR
AGR000000,2023-11-23,187946.4,EUR
AGR000000,2023-11-30,187607.52,EUR
AGR000000,2023-12-07,187633.92,EUR
AGR000000,2023-12-14,187230.23,EUR
AGR000000,2023-12-21,185707.32,EUR
AGR000000,2023-12-28,184705.36,EUR
AGR000000,2024-01-04,184378.69,EUR
AGR000000,2024-01-11,184546.11,EUR
AGR000000,2024-01-18,185662.23,EUR
AGR000000,2024-01-25,187668.97,EUR
AGR000000,2024-02-01,187116.57,EUR
AGR000000,2024-02-08,186263.03,EUR
AGR000000,2024-02-15,187078.22,EUR
AGR000000,2024-02-22,188220.97,EUR
AGR000000,2024-02-29,187403.72,EUR
AGR000000,2024-03-07,188884.95,EUR
AGR000000,2024-03-14,190735.23,EUR
AGR000000,2024-03-21,193198.94,EUR
AGR000000,2024-03-28,196634.63,EUR
AGR000000,2024-04-04,194930.96,EUR
AGR000000,2024-04-11,194958.05,EUR
AGR000000,2024-04-18,194980.04,EUR
AGR000000,2024-04-25,194788.81,EUR
AGR000000,2024-05-02,193524.12,EUR
AGR000000,2024-05-09,190649.2,EUR
AGR000000,2024-05-16,190825.89,EUR
AGR000000,2024-05-23,189359.67,EUR
AGR000000,2024-05-30,189522.51,EUR
AGR000000,2024-06-06,188017.62,EUR
AGR000000,2024-06-13,185950.07,EUR
AGR000000,2024-06-20,186385.74,EUR
AGR000000,2024-06-27,186667.04,EUR
AGR000000,2024-07-04,187748.37,EUR
AGR000000,2024-07-11,191852.29,EUR
AGR000000,2024-07-18,192384.28,EUR
AGR000000,2024-07-25,193317.5,EUR
AGR000000,2024-08-01,191234.39,EUR
AGR000000,2024-08-08,188773.38,EUR
AGR000000,2024-08-15,191761.34,EUR
AGR000000,2024-08-22,189990.46,EUR
AGR000000,2024-08-29,188007.07,EUR
AGR000000,2024-09-05,187933.56,EUR
AGR000000,2024-09-12,187764.05,EUR
AGR000000,2024-09-19,186069.47,EUR
AGR000000,2024-09-26,185502.01,EUR
AGR000000,2024-10-03,187782.53,EUR
AGR000000,2024-10-10,186269.01,EUR
AGR000000,2024-10-17,183673.03,EUR
AGR000000,2024-10-24,185404.32,EUR
AGR000000,2024-10-31,186317.06,EUR
AGR000000,2024-11-07,185160.93,EUR
AGR000000,2024-11-14,182231.37,EUR
AGR000000,2024-11-21,180874.44,EUR
AGR000000,2024-11-28,180775.49,EUR
AGR000000,2024-12-05,182882.74,EUR
AGR000000,2024-12-12,180987.01,EUR
AGR000000,2024-12-19,180834.04,EUR
AGR000000,2024-12-26,182054.93,EUR
AGR000000,2025-01-02,177719.72,EUR
AGR000000,2025-01-09,179556.96,EUR
AGR000000,2025-01-16,177433.79,EUR
AGR000000,2025-01-23,178022.86,EUR
AGR000000,2025-01-30,178462.01,EUR
AGR000000,2025-02-06,180397.59,EUR
AGR000000,2025-02-13,181391.44,EUR
AGR000000,2025-02-20,177079.24,EUR
AGR000000,2025-02-27,175689.56,EUR
AGR000000,2025-03-06,175932.37,EUR
AGR000000,2025-03-13,175589.34,EUR
AGR000000,2025-03-20,176427.97,EUR
AGR000000,2025-03-27,177820.63,EUR
AGR000000,2025-04-03,178902.59,EUR
AGR000000,2025-04-10,178519.24,EUR
AGR000000,2025-04-17,175223.18,EUR
AGR000000,2025-04-24,174425.07,EUR
AGR000000,2025-05-01,175151.32,EUR
AGR000000,2025-05-08,173241.39,EUR
AGR000000,2025-05-15,174335.01,EUR
AGR000000,2025-05-22,175918.66,EUR
AGR000000,2025-05-29,176141.84,EUR
AGR000000,2025-06-05,170745.25,EUR
AGR000000,2025-06-12,168562.97,EUR
AGR000000,2025-06-19,171742.39,EUR
AGR000000,2025-06-26,170803.75,EUR
AGR000000,2025-07-03,167414.76,EUR
AGR000000,2025-07-10,169482.75,EUR
AGR000000,2025-07-17,169505.38,EUR
AGR000000,2025-07-24,171378.31,EUR
AGR000000,2025-07-31,171852.96,EUR
AGR000000,2025-08-07,172641.01,EUR
AGR000000,2025-08-14,173267.71,EUR
AGR000000,2025-08-21,174476.23,EUR
AGR000000,2025-08-28,178449.81,EUR
AGR000000,2025-09-04,180182.57,EUR
AGR000000,2025-09-11,177335.07,EUR
AGR000000,2025-09-18,178127.16,EUR
AGR000000,2025-09-25,180160.45,EUR
AGR000000,2025-10-02,182327.24,EUR
AGR000000,2025-10-09,181549.42,EUR
AGR000000,2025-10-16,183664.37,EUR
AGR000000,2025-10-23,185368.3,EUR
AGR000000,2025-10-30,190136.94,EUR
AGR000000,2025-11-06,188710.9,EUR
AGR000000,2025-11-13,187753.38,EUR
AGR000000,2025-11-20,187178.64,EUR
AGR000000,2025-11-27,186261.04,EUR
AGR000000,2025-12-04,184603.28,EUR
AGR000000,2025-12-11,179503.29,EUR
AGR000000,2025-12-18,178722.99,EUR
AGR000000,2025-12-25,179383.12,EUR
AGR000000,2026-01-01,178498.36,EUR
AGR000000,2026-01-08,181952.99,EUR
AGR000000,2026-01-15,181977.33,EUR
AGR000000,2026-01-22,184326.71,EUR
AGR000000,2026-01-29,184808.57,EUR
AGR000000,2026-02-05,186335.84,EUR
AGR000000,2026-02-12,186856.17,EUR
AGR000000,2026-02-19,189413.83,EUR
AGR000000,2026-02-26,189519.79,EUR
AGR000000,2026-03-05,190460.03,EUR
AGR000000,2026-03-12,191157.75,EUR
AGR000000,2026-03-19,190606.67,EUR
AGR000000,2026-03-26,191378.6,EUR
AGR000000,2026-04-02,195654.73,EUR
AGR000000,2026-04-09,195125.69,EUR
AGR000000,2026-04-16,195944.17,EUR
AGR000000,2026-04-23,198408.72,EUR
AGR000000,2026-04-30,200671.08,EUR
AGR000000,2026-05-07,200694.59,EUR
AGR000000,2026-05-14,195911.26,EUR
AGR000000,2026-05-21,196923.54,EUR
AGR000000,2026-05-28,192552.87,EUR
AGR000000,2026-06-04,195383.28,EUR
AGR000000,2026-06-11,195714.4,EUR
AGR000000,2026-06-18,197670.91,EUR
AGR000000,2026-06-25,195887.69,EUR
AGR000001,2022-06-30,125804.95,EUR
AGR000001,2022-07-07,128428.69,EUR
AGR000001,2022-07-14,130538.54,EUR
AGR000001,2022-07-21,134237.19,EUR
AGR000001,2022-07-28,133762.01,EUR
AGR000001,2022-08-04,128625.11,EUR
AGR000001,2022-08-11,128153.64,EUR
AGR000001,2022-08-18,130182.98,EUR
AGR000001,2022-08-25,127758.48,EUR
AGR000001,2022-09-01,127317.57,EUR
AGR000001,2022-09-08,125588.14,EUR
AGR000001,2022-09-15,129343.22,EUR
AGR000001,2022-09-22,131216.86,EUR
AGR000001,2022-09-29,132845.71,EUR
