PRTY_ID,EFFECTIVE_START_DT,EFFECTIVE_END_DT,PRTY_TYP_CD,PRTY_SBTYP_CD,RSK_GRD_CD,RSK_GRD_VAL,RSK_GRD_DT,PRTY_SGMNT_CD,HIGH_RSK_CUST_IND,RLTNSHP_MGR_ID
PRTY00000,2021-05-15,,ORG,LTD,BB,5,2021-05-15,MID,N,RM005
PRTY00001,2020-08-29,2025-06-30,ORG,PUB,AA,2,2020-08-29,INST,N,RM012
PRTY00001,2025-06-30,,ORG,PUB,A,3,2025-06-30,INST,N,RM012
PRTY00002,2020-03-16,,ORG,PRT,BB,5,2020-03-16,SME,N,RM006
PRTY00003,2022-03-12,,ORG,PRT,B,6,2022-03-12,SME,N,RM018
PRTY00004,2020-08-10,,ORG,PRT,BBB,4,2020-08-10,MID,N,RM020
PRTY00005,2020-08-08,2023-04-28,ORG,PRT,B,6,2020-08-08,MID,N,RM005
PRTY00005,2023-04-28,,ORG,PRT,CCC,7,2023-04-28,MID,N,RM005
PRTY00006,2020-08-22,,ORG,PUB,B,6,2020-08-22,MID,N,RM019
PRTY00007,2020-07-08,,ORG,PLC,B,6,2020-07-08,SME,N,RM004
PRTY00008,2020-10-26,,ORG,COP,B,6,2020-10-26,SME,N,RM001
PRTY00009,2020-08-01,,ORG,PUB,CCC,7,2020-08-01,SME,N,RM020
PRTY00010,2020-10-15,2025-08-30,ORG,PLC,BB,5,2020-10-15,SME,N,RM009
PRTY00010,2025-08-30,,ORG,PLC,CCC,7,2025-08-30,SME,N,RM009
PRTY00011,2021-04-16,,ORG,COP,B,6,2021-04-16,MID,N,RM016
PRTY00012,2022-01-30,,ORG,COP,BB,5,2022-01-30,SME,N,RM004
PRTY00013,2022-03-24,,ORG,COP,B,6,2022-03-24,SME,N,RM019
PRTY00014,2021-09-09,,ORG,PUB,CCC,7,2021-09-09,SME,Y,RM017
PRTY00015,2020-01-19,2025-11-06,ORG,PUB,BB,5,2020-01-19,SME,N,RM020
PRTY00015,2025-11-06,,ORG,PUB,B,6,2025-11-06,SME,N,RM020
PRTY00016,2020-11-02,,ORG,PUB,B,6,2020-11-02,SME,N,RM010
PRTY00017,2021-06-02,2025-09-12,ORG,PLC,B,6,2021-06-02,SME,N,RM018
PRTY00017,2025-09-12,,ORG,PLC,CCC,7,2025-09-12,SME,N,RM018
PRTY00018,2021-04-25,,ORG,PUB,B,6,2021-04-25,MID,N,RM001
PRTY00019,2021-03-26,,ORG,PRT,BBB,4,2021-03-26,MID,N,RM007
PRTY00020,2021-07-21,2023-11-16,ORG,PUB,BB,5,2021-07-21,MID,N,RM012
PRTY00020,2023-11-16,,ORG,PUB,B,6,2023-11-16,MID,N,RM012
PRTY00021,2021-04-29,,ORG,LTD,B,6,2021-04-29,MID,N,RM004
PRTY00022,2021-05-06,2024-04-16,ORG,PUB,B,6,2021-05-06,MID,N,RM014
PRTY00022,2024-04-16,,ORG,PUB,CCC,7,2024-04-16,MID,N,RM014
PRTY00023,2020-09-11,2023-10-01,ORG,PRT,B,6,2020-09-11,SME,N,RM009
PRTY00023,2023-10-01,,ORG,PRT,CC,8,2023-10-01,SME,N,RM009
PRTY00024,2020-09-13,,ORG,PLC,BB,5,2020-09-13,MID,N,RM002
PRTY00025,2020-11-30,2022-11-25,ORG,PLC,BB,5,2020-11-30,MID,N,RM006
PRTY00025,2022-11-25,,ORG,PLC,B,6,2022-11-25,MID,N,RM006
PRTY00026,2022-01-26,,ORG,COP,B,6,2022-01-26,SME,N,RM015
PRTY00027,2020-01-21,,ORG,PRT,A,3,2020-01-21,LRGE,N,RM008
PRTY00028,2020-02-18,,ORG,PLC,BB,5,2020-02-18,SME,N,RM015
PRTY00029,2020-10-25,,ORG,PRT,BB,5,2020-10-25,SME,N,RM012
PRTY00030,2021-10-11,,ORG,PUB,CCC,7,2021-10-11,SME,N,RM005
PRTY00031,2021-07-19,2025-09-29,ORG,LTD,B,6,2021-07-19,SME,N,RM019
PRTY00031,2025-09-29,,ORG,LTD,CC,8,2025-09-29,SME,N,RM019
PRTY00032,2020-10-24,,ORG,COP,B,6,2020-10-24,SME,N,RM018
PRTY00033,2021-08-26,,ORG,PLC,B,6,2021-08-26,MID,N,RM016
PRTY00034,2021-02-03,,ORG,PRT,BB,5,2021-02-03,SME,N,RM010
PRTY00035,2021-12-06,,ORG,PUB,CCC,7,2021-12-06,SME,N,RM020
PRTY00036,2020-03-08,2023-09-21,ORG,PRT,CCC,7,2020-03-08,SME,N,RM007
PRTY00036,2023-09-21,,ORG,PRT,C,9,2023-09-21,SME,N,RM007
PRTY00037,2022-03-13,,ORG,COP,BB,5,2022-03-13,LRGE,N,RM016
PRTY00038,2021-08-30,,ORG,PRT,B,6,2021-08-30,SME,N,RM004
PRTY00039,2020-08-29,,ORG,COP,B,6,2020-08-29,SME,N,RM004
PRTY00040,2022-02-14,2025-06-10,ORG,PLC,BB,5,2022-02-14,SME,N,RM020
PRTY00040,2025-06-10,,ORG,PLC,B,6,2025-06-10,SME,N,RM020
PRTY00041,2022-04-23,,ORG,PLC,BBB,4,2022-04-23,LRGE,N,RM019
PRTY00042,2021-03-22,2023-03-31,ORG,LTD,A,3,2021-03-22,INST,N,RM014
PRTY00042,2023-03-31,,ORG,LTD,BBB,4,2023-03-31,INST,N,RM014
PRTY00043,2020-02-08,,ORG,PLC,BBB,4,2020-02-08,MID,N,RM015
PRTY00044,2021-12-09,,ORG,PLC,B,6,2021-12-09,SME,N,RM011
PRTY00045,2021-05-19,,ORG,PLC,CCC,7,2021-05-19,SME,N,RM011
PRTY00046,2021-04-01,,ORG,PRT,BB,5,2021-04-01,SME,N,RM018
PRTY00047,2021-03-23,,ORG,PLC,A,3,2021-03-23,LRGE,N,RM005
PRTY00048,2022-01-29,,ORG,PLC,CCC,7,2022-01-29,SME,N,RM012
PRTY00049,2020-08-27,,ORG,PUB,BBB,4,2020-08-27,LRGE,N,RM007
PRTY00050,2022-02-26,,ORG,PRT,B,6,2022-02-26,SME,N,RM009
PRTY00051,2020-08-04,,ORG,COP,BB,5,2020-08-04,SME,N,RM012
PRTY00052,2021-07-10,,ORG,PUB,BB,5,2021-07-10,SME,N,RM015
PRTY00053,2021-02-24,,ORG,LTD,CCC,7,2021-02-24,SME,N,RM017
PRTY00054,2022-03-01,,ORG,LTD,B,6,2022-03-01,MID,N,RM006
PRTY00055,2021-08-27,,ORG,LTD,BBB,4,2021-08-27,MID,N,RM020
PRTY00056,2021-09-26,2024-08-24,ORG,PLC,BB,5,2021-09-26,SME,N,RM020
PRTY00056,2024-08-24,,ORG,PLC,CCC,7,2024-08-24,SME,N,RM020
PRTY00057,2020-06-08,,ORG,PLC,BB,5,2020-06-08,SME,N,RM016
PRTY00058,2021-08-28,,ORG,COP,CCC,7,2021-08-28,SME,N,RM017
PRTY00059,2021-03-29,,ORG,PLC,CCC,7,2021-03-29,SME,N,RM011
PRTY00060,2021-06-03,,ORG,PUB,CCC,7,2021-06-03,SME,Y,RM020
PRTY00061,2022-03-11,,ORG,PUB,B,6,2022-03-11,SME,N,RM008
PRTY00062,2020-05-28,,ORG,LTD,CCC,7,2020-05-28,SME,N,RM015
