PRTY_ID,AGRMNT_ID,PRTY_AGRMNT_ROLE_CD
PRTY00000,AGR000000,BOR
PRTY00000,AGR000001,BOR
PRTY00001,AGR000002,BOR
PRTY00001,AGR000003,BOR
PRTY00002,AGR000004,BOR
PRTY00003,AGR000005,BOR
PRTY00003,AGR000006,BOR
PRTY00004,AGR000007,BOR
PRTY00004,AGR000008,BOR
PRTY00005,AGR000009,BOR
PRTY00005,AGR000010,BOR
PRTY00006,AGR000011,BOR
PRTY00007,AGR000012,BOR
PRTY00008,AGR000013,BOR
PRTY00009,AGR000014,BOR
PRTY00009,AGR000015,BOR
PRTY00010,AGR000016,BOR
PRTY00011,AGR000017,BOR
PRTY00011,AGR000018,BOR
PRTY00012,AGR000019,BOR
PRTY00012,AGR000020,BOR
PRTY00013,AGR000021,BOR
PRTY00014,AGR000022,BOR
PRTY00015,AGR000023,BOR
PRTY00015,AGR000024,BOR
PRTY00016,AGR000025,BOR
PRTY00017,AGR000026,BOR
PRTY00017,AGR000027,BOR
PRTY00018,AGR000028,BOR
PRTY00019,AGR000029,BOR
PRTY00020,AGR000030,BOR
PRTY00021,AGR000031,BOR
PRTY00021,AGR000032,BOR
PRTY00022,AGR000033,BOR
PRTY00022,AGR000034,BOR
PRTY00023,AGR000035,BOR
PRTY00024,AGR000036,BOR
PRTY00024,AGR000037,BOR
PRTY00024,AGR000038,BOR
PRTY00025,AGR000039,BOR
PRTY00025,AGR000040,BOR
PRTY00026,AGR000041,BOR
PRTY00026,AGR000042,BOR
PRTY00027,AGR000043,BOR
PRTY00027,AGR000044,BOR
PRTY00028,AGR000045,BOR
PRTY00028,AGR000046,BOR
PRTY00029,AGR000047,BOR
PRTY00030,AGR000048,BOR
PRTY00030,AGR000049,BOR
PRTY00031,AGR000050,BOR
PRTY00031,AGR000051,BOR
PRTY00032,AGR000052,BOR
PRTY00033,AGR000053,BOR
PRTY00033,AGR000054,BOR
PRTY00034,AGR000055,BOR
PRTY00034,AGR000056,BOR
PRTY00035,AGR000057,BOR
PRTY00035,AGR000058,BOR
PRTY00036,AGR000059,BOR
PRTY00036,AGR000060,BOR
PRTY00037,AGR000061,BOR
PRTY00038,AGR000062,BOR
PRTY00039,AGR000063,BOR
PRTY00040,AGR000064,BOR
PRTY00040,AGR000065,BOR
PRTY00041,AGR000066,BOR
PRTY00041,AGR000067,BOR
PRTY00042,AGR000068,BOR
PRTY00043,AGR000069,BOR
PRTY00044,AGR000070,BOR
PRTY00045,AGR000071,BOR
PRTY00045,AGR000072,BOR
PRTY00046,AGR000073,BOR
PRTY00046,AGR000074,BOR
PRTY00047,AGR000075,BOR
PRTY00048,AGR000076,BOR
PRTY00048,AGR000077,BOR
PRTY00049,AGR000078,BOR
PRTY00049,AGR000079,BOR
PRTY00050,AGR000080,BOR
PRTY00051,AGR000081,BOR
PRTY00051,AGR000082,BOR
PRTY00052,AGR000083,BOR
PRTY00052,AGR000084,BOR
PRTY00053,AGR000085,BOR
PRTY00053,AGR000086,BOR
PRTY00054,AGR000087,BOR
PRTY00054,AGR000088,BOR
PRTY00054,AGR000089,BOR
PRTY00055,AGR000090,BOR
PRTY00055,AGR000091,BOR
PRTY00055,AGR000092,BOR
PRTY00056,AGR000093,BOR
PRTY00056,AGR000094,BOR
PRTY00057,AGR000095,BOR
PRTY00057,AGR000096,BOR
PRTY00058,AGR000097,BOR
PRTY00058,AGR000098,BOR
PRTY00059,AGR000099,BOR
PRTY00060,AGR000100,BOR
PRTY00060,AGR000101,BOR
PRTY00061,AGR000102,BOR
PRTY00062,AGR000103,BOR
PRTY00063,AGR000104,BOR
PRTY00063,AGR000105,BOR
PRTY00064,AGR000106,BOR
PRTY00064,AGR000107,BOR
PRTY00065,AGR000108,BOR
PRTY00065,AGR000109,BOR
PRTY00066,AGR000110,BOR
PRTY00066,AGR000111,BOR
PRTY00067,AGR000112,BOR
PRTY00068,AGR000113,BOR
PRTY00068,AGR000114,BOR
PRTY00069,AGR000115,BOR
PRTY00069,AGR000116,BOR
PRTY00070,AGR000117,BOR
PRTY00070,AGR000118,BOR
PRTY00071,AGR000119,BOR
PRTY00072,AGR000120,BOR
PRTY00072,AGR000121,BOR
PRTY00073,AGR000122,BOR
PRTY00073,AGR000123,BOR
