PRTY_ID,NACE_SECTION_CD,NACE_CODE,SECTOR_NM
PRTY00000,M,70.22,Professional & Business Services
PRTY00001,O,84.30,Public Administration / Institutional
PRTY00002,D,35.11,Energy & Utilities
PRTY00003,H,53.20,Transportation & Logistics
PRTY00004,H,53.20,Transportation & Logistics
PRTY00005,F,42.11,Construction
PRTY00006,F,41.20,Construction
PRTY00007,C,10.71,Manufacturing
PRTY00008,Q,87.30,Health & Social Care
PRTY00009,A,01.11,Agriculture & Food Production
PRTY00010,M,69.20,Professional & Business Services
PRTY00011,C,10.71,Manufacturing
PRTY00012,G,46.39,Wholesale & Retail Trade
PRTY00013,G,47.11,Wholesale & Retail Trade
PRTY00014,M,70.22,Professional & Business Services
PRTY00015,D,35.30,Energy & Utilities
PRTY00016,G,46.90,Wholesale & Retail Trade
PRTY00017,C,10.71,Manufacturing
PRTY00018,C,10.71,Manufacturing
PRTY00019,M,69.20,Professional & Business Services
PRTY00020,A,01.11,Agriculture & Food Production
PRTY00021,M,70.22,Professional & Business Services
PRTY00022,G,46.90,Wholesale & Retail Trade
PRTY00023,M,71.12,Professional & Business Services
PRTY00024,L,68.31,Real Estate
PRTY00025,F,43.29,Construction
PRTY00026,C,22.29,Manufacturing
PRTY00027,H,49.41,Transportation & Logistics
PRTY00028,A,10.51,Agriculture & Food Production
PRTY00029,Q,86.10,Health & Social Care
PRTY00030,M,70.22,Professional & Business Services
PRTY00031,F,41.20,Construction
PRTY00032,J,61.10,Information & Communication
PRTY00033,H,53.20,Transportation & Logistics
PRTY00034,G,47.11,Wholesale & Retail Trade
PRTY00035,G,46.90,Wholesale & Retail Trade
PRTY00036,A,10.51,Agriculture & Food Production
PRTY00037,C,10.71,Manufacturing
PRTY00038,H,52.10,Transportation & Logistics
PRTY00039,M,70.22,Professional & Business Services
PRTY00040,H,49.41,Transportation & Logistics
PRTY00041,H,53.20,Transportation & Logistics
PRTY00042,H,53.20,Transportation & Logistics
PRTY00043,C,22.29,Manufacturing
PRTY00044,M,69.20,Professional & Business Services
PRTY00045,J,61.10,Information & Communication
PRTY00046,C,22.29,Manufacturing
PRTY00047,H,53.20,Transportation & Logistics
PRTY00048,O,84.11,Public Administration / Institutional
PRTY00049,C,22.29,Manufacturing
PRTY00050,L,68.31,Real Estate
PRTY00051,Q,87.30,Health & Social Care
PRTY00052,H,52.10,Transportation & Logistics
PRTY00053,L,68.31,Real Estate
PRTY00054,J,61.10,Information & Communication
PRTY00055,J,62.01,Information & Communication
PRTY00056,J,63.11,Information & Communication
PRTY00057,F,43.29,Construction
PRTY00058,H,52.10,Transportation & Logistics
PRTY00059,M,71.12,Professional & Business Services
PRTY00060,I,55.10,Hospitality & Food Service
PRTY00061,G,46.39,Wholesale & Retail Trade
PRTY00062,I,55.10,Hospitality & Food Service
PRTY00063,G,45.20,Wholesale & Retail Trade
PRTY00064,M,69.20,Professional & Business Services
PRTY00065,O,84.30,Public Administration / Institutional
PRTY00066,G,46.90,Wholesale & Retail Trade
PRTY00067,A,01.11,Agriculture & Food Production
PRTY00068,C,13.20,Manufacturing
PRTY00069,G,45.20,Wholesale & Retail Trade
PRTY00070,M,69.20,Professional & Business Services
PRTY00071,Q,87.30,Health & Social Care
PRTY00072,I,56.10,Hospitality & Food Service
PRTY00073,F,41.20,Construction
PRTY00074,H,53.20,Transportation & Logistics
PRTY00075,G,45.20,Wholesale & Retail Trade
PRTY00076,G,46.39,Wholesale & Retail Trade
PRTY00077,M,69.20,Professional & Business Services
PRTY00078,I,55.10,Hospitality & Food Service
PRTY00079,H,49.41,Transportation & Logistics
PRTY00080,Q,87.30,Health & Social Care
PRTY00081,Q,87.30,Health & Social Care
PRTY00082,H,52.10,Transportation & Logistics
PRTY00083,G,47.11,Wholesale & Retail Trade
PRTY00084,F,41.20,Construction
PRTY00085,H,49.41,Transportation & Logistics
