PRTY_ID,COUNTRY_CD
PRTY00000,PT
PRTY00001,DE
PRTY00002,BE
PRTY00003,PL
PRTY00004,FR
PRTY00005,NL
PRTY00006,IE
PRTY00007,IE
PRTY00008,AT
PRTY00009,IT
PRTY00010,FR
PRTY00011,FR
PRTY00012,BE
PRTY00013,BE
PRTY00014,BE
PRTY00015,ES
PRTY00016,NL
PRTY00017,IT
PRTY00018,FR
PRTY00019,FR
PRTY00020,DE
PRTY00021,DE
PRTY00022,PL
PRTY00023,NL
PRTY00024,FR
PRTY00025,IT
PRTY00026,BE
PRTY00027,DE
PRTY00028,FR
PRTY00029,DE
PRTY00030,ES
PRTY00031,FR
PRTY00032,DE
PRTY00033,DE
PRTY00034,ES
PRTY00035,DE
PRTY00036,PL
PRTY00037,DE
PRTY00038,ES
PRTY00039,NL
PRTY00040,NL
PRTY00041,DE
PRTY00042,PL
PRTY00043,AT
PRTY00044,DE
PRTY00045,DE
PRTY00046,AT
PRTY00047,BE
PRTY00048,DE
PRTY00049,DE
PRTY00050,ES
PRTY00051,IT
PRTY00052,ES
PRTY00053,PT
PRTY00054,NL
PRTY00055,FR
PRTY00056,NL
PRTY00057,FR
PRTY00058,FR
PRTY00059,DE
PRTY00060,FR
PRTY00061,IT
PRTY00062,DE
PRTY00063,NL
PRTY00064,ES
PRTY00065,ES
PRTY00066,IT
PRTY00067,PL
PRTY00068,IT
PRTY00069,DE
PRTY00070,NL
PRTY00071,ES
PRTY00072,FR
PRTY00073,DE
PRTY00074,FR
PRTY00075,NL
PRTY00076,NL
PRTY00077,DE
PRTY00078,PL
PRTY00079,AT
PRTY00080,DE
PRTY00081,AT
PRTY00082,DE
PRTY00083,AT
PRTY00084,PT
PRTY00085,DE
PRTY00086,IT
PRTY00087,IE
PRTY00088,AT
PRTY00089,IE
PRTY00090,BE
PRTY00091,DE
PRTY00092,PL
PRTY00093,ES
PRTY00094,ES
PRTY00095,NL
PRTY00096,ES
PRTY00097,DE
PRTY00098,IT
PRTY00099,DE
PRTY00100,IT
PRTY00101,PL
PRTY00102,NL
PRTY00103,BE
PRTY00104,FR
PRTY00105,PT
PRTY00106,IT
PRTY00107,FR
PRTY00108,DE
PRTY00109,DE
PRTY00110,NL
PRTY00111,PT
PRTY00112,IT
PRTY00113,DE
PRTY00114,PL
PRTY00115,FR
PRTY00116,PL
PRTY00117,FR
PRTY00118,ES
PRTY00119,AT
PRTY00120,FR
PRTY00121,IT
PRTY00122,IE
PRTY00123,DE
PRTY00124,DE
PRTY00125,ES
PRTY00126,FR
PRTY00127,DE
PRTY00128,NL
PRTY00129,IT
PRTY00130,FR
PRTY00131,FR
PRTY00132,PL
PRTY00133,BE
PRTY00134,PL
PRTY00135,NL
PRTY00136,PT
PRTY00137,ES
PRTY00138,DE
PRTY00139,AT
PRTY00140,NL
PRTY00141,DE
PRTY00142,DE
PRTY00143,ES
PRTY00144,DE
PRTY00145,FR
PRTY00146,DE
PRTY00147,NL
PRTY00148,NL
PRTY00149,BE
PRTY00150,FR
PRTY00151,DE
PRTY00152,ES
PRTY00153,FR
PRTY00154,ES
PRTY00155,DE
PRTY00156,DE
PRTY00157,FR
PRTY00158,NL
PRTY00159,FR
PRTY00160,PL
PRTY00161,FR
PRTY00162,BE
PRTY00163,ES
PRTY00164,DE
PRTY00165,BE
PRTY00166,FR
PRTY00167,NL
PRTY00168,DE
PRTY00169,IT
PRTY00170,PT
PRTY00171,DE
PRTY00172,ES
PRTY00173,IT
PRTY00174,FR
PRTY00175,IT
PRTY00176,ES
PRTY00177,AT
PRTY00178,IE
PRTY00179,DE
PRTY00180,NL
PRTY00181,BE
PRTY00182,DE
PRTY00183,FR
PRTY00184,IE
PRTY00185,DE
PRTY00186,NL
PRTY00187,PL
PRTY00188,FR
PRTY00189,NL
PRTY00190,IE
PRTY00191,NL
PRTY00192,DE
PRTY00193,DE
