AGRMNT_ID,CLTRL_ITEM_ID
AGR000001,CLT00000
AGR000003,CLT00001
AGR000008,CLT00002
AGR000010,CLT00003
AGR000015,CLT00004
AGR000020,CLT00005
AGR000040,CLT00006
AGR000054,CLT00007
AGR000056,CLT00008
AGR000067,CLT00009
AGR000074,CLT00010
AGR000082,CLT00011
AGR000086,CLT00012
AGR000088,CLT00013
AGR000114,CLT00014
AGR000135,CLT00015
AGR000146,CLT00016
AGR000157,CLT00017
AGR000176,CLT00018
AGR000181,CLT00019
AGR000190,CLT00020
AGR000194,CLT00021
AGR000204,CLT00022
AGR000239,CLT00023
AGR000241,CLT00024
AGR000245,CLT00025
AGR000251,CLT00026
AGR000253,CLT00027
AGR000267,CLT00028
AGR000272,CLT00029
AGR000274,CLT00030
AGR000285,CLT00031
AGR000293,CLT00032
AGR000303,CLT00033
AGR000313,CLT00034
AGR000329,CLT00035
AGR000334,CLT00036
AGR000336,CLT00037
AGR000349,CLT00038
AGR000351,CLT00039
AGR000353,CLT00040
AGR000359,CLT00041
AGR000371,CLT00042
AGR000377,CLT00043
AGR000385,CLT00044
AGR000412,CLT00045
AGR000433,CLT00046
AGR000438,CLT00047
AGR000453,CLT00048
AGR000457,CLT00049
AGR000463,CLT00050
AGR000465,CLT00051
AGR000469,CLT00052
AGR000472,CLT00053
AGR000474,CLT00054
AGR000479,CLT00055
AGR000481,CLT00056
AGR000490,CLT00057
AGR000505,CLT00058
AGR000512,CLT00059
