CLTRL_ITEM_ID,CLTRL_ITEM_TYP_CD
CLT00000,CASH
CLT00001,DEBT
CLT00002,CASH
CLT00003,INVT
CLT00004,PROP
CLT00005,PROP
CLT00006,DEBT
CLT00007,INVT
CLT00008,DEBT
CLT00009,PROP
CLT00010,PLNT
CLT00011,DEBT
CLT00012,PROP
CLT00013,INVT
CLT00014,DEBT
CLT00015,PROP
CLT00016,INVT
CLT00017,DEBT
CLT00018,PLNT
CLT00019,DEBT
CLT00020,PROP
CLT00021,CASH
CLT00022,INVT
CLT00023,PLNT
CLT00024,CASH
CLT00025,CASH
CLT00026,PROP
CLT00027,INVT
CLT00028,DEBT
CLT00029,DEBT
CLT00030,CASH
CLT00031,DEBT
CLT00032,CASH
CLT00033,CASH
CLT00034,INVT
CLT00035,PLNT
CLT00036,DEBT
CLT00037,INVT
CLT00038,PLNT
CLT00039,CASH
CLT00040,DEBT
CLT00041,PROP
CLT00042,INVT
CLT00043,CASH
CLT00044,PLNT
CLT00045,CASH
CLT00046,PLNT
CLT00047,CASH
CLT00048,CASH
CLT00049,INVT
CLT00050,INVT
CLT00051,DEBT
CLT00052,CASH
CLT00053,CASH
CLT00054,PLNT
CLT00055,PLNT
CLT00056,INVT
CLT00057,PLNT
CLT00058,PLNT
CLT00059,PROP
