CLTRL_ITEM_ID,EFFECTIVE_START_DT,EFFECTIVE_END_DT,CLTRL_VAL_AMT,CLTRL_VALUTN_MTHD_CD
CLT00000,2020-10-27,,304069.03,IDX
CLT00001,2021-10-20,2023-08-26,1543278.96,IDX
CLT00001,2023-08-26,,1073673.89,IDX
CLT00002,2021-01-01,,131901.34,IDX
CLT00003,2022-03-28,,303134.57,MKT
CLT00004,2020-11-29,,1275183.55,MKT
CLT00005,2020-11-23,2023-02-18,1108712.53,DRV
CLT00005,2023-02-18,,598666.73,MKT
CLT00006,2021-01-05,,119657.19,MKT
CLT00007,2022-01-12,,723181.55,DRV
CLT00008,2022-04-10,,395110.27,DRV
CLT00009,2021-09-06,,398406.8,DRV
CLT00010,2020-11-29,,1522651.91,IDX
CLT00011,2021-09-19,,693383.56,MKT
CLT00012,2021-06-20,,148811.27,IDX
CLT00013,2021-06-04,,1281015.82,DRV
CLT00014,2021-06-08,,797795.04,IDX
CLT00015,2022-02-23,,315883.7,IDX
CLT00016,2021-11-13,,328118.58,IDX
CLT00017,2020-09-20,2023-07-29,392045.36,IDX
CLT00017,2023-07-29,,261223.99,DRV
CLT00018,2020-11-01,,1540184.97,IDX
CLT00019,2021-10-27,,348032.58,MKT
CLT00020,2020-08-15,2023-03-08,355693.45,IDX
CLT00020,2023-03-08,,197289.1,IDX
CLT00021,2021-03-11,,551158.08,MKT
CLT00022,2020-12-28,,312021.83,IDX
CLT00023,2021-09-19,,1361330.65,MKT
CLT00024,2021-12-30,,142526.71,IDX
CLT00025,2020-09-07,,1428851.27,IDX
CLT00026,2022-02-20,,1562293.57,IDX
CLT00027,2021-11-04,,350861.74,DRV
CLT00028,2022-01-05,,159620.66,IDX
CLT00029,2022-04-28,,139631.19,IDX
CLT00030,2021-09-26,,1345203.34,MKT
CLT00031,2021-04-22,,1265381.51,MKT
CLT00032,2021-05-08,,1350491.37,DRV
CLT00033,2020-10-27,,554302.71,IDX
CLT00034,2020-11-03,,1527584.88,MKT
CLT00035,2021-01-12,,136128.84,MKT
CLT00036,2021-07-15,,760405.27,DRV
CLT00037,2021-06-02,,1219573.48,MKT
CLT00038,2022-01-21,,115908.86,IDX
CLT00039,2021-01-25,,1187187.11,DRV
CLT00040,2021-10-14,2022-09-02,367219.79,DRV
CLT00040,2022-09-02,,243053.26,IDX
CLT00041,2021-05-26,,703025.62,IDX
CLT00042,2020-10-28,,775872.97,IDX
CLT00043,2022-03-23,,1323339.5,DRV
CLT00044,2020-10-22,,792911.91,MKT
CLT00045,2021-11-13,,140281.2,DRV
CLT00046,2022-02-17,,370150.6,IDX
CLT00047,2021-07-29,,1580068.99,DRV
CLT00048,2022-04-22,,1176451.95,DRV
CLT00049,2021-07-17,,672945.44,MKT
CLT00050,2020-12-25,,137316.55,DRV
CLT00051,2022-01-15,,154971.38,DRV
CLT00052,2021-01-15,,358750.64,IDX
CLT00053,2020-08-01,,325163.3,IDX
CLT00054,2022-04-09,,1192855.48,MKT
CLT00055,2021-05-15,,370436.07,IDX
CLT00056,2021-04-13,,642773.15,MKT
CLT00057,2022-03-08,,132366.28,MKT
CLT00058,2021-01-20,,306937.27,MKT
CLT00059,2020-09-12,,1421043.3,IDX
